mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58754.30691,20.45250,0.00775,20.35772,0.00790,20.41771,0.00313,21.24107,0.00463,WFI
58755.27540,20.47742,0.00615,20.35057,0.00412,20.40548,0.00399,21.24870,0.00833,WFI
58756.24260,20.48016,0.01309,20.34327,0.00768,20.44011,0.01352,21.19965,0.01348,WFI
58758.29832,20.46957,0.00896,20.37100,0.00455,20.40220,0.00394,21.25479,0.02809,WFI
58760.24809,20.50070,0.00697,20.35252,0.00727,20.41853,0.01527,21.22355,0.00532,WFI
58761.23439,20.45894,0.01289,20.35693,0.00716,20.40627,0.00033,21.23925,0.01373,WFI
58762.24304,20.47061,0.00516,20.36406,0.00256,20.40886,0.00201,21.22736,0.01588,WFI
58764.13007,20.41625,0.01254,20.33061,0.00614,20.39062,0.00354,21.29080,0.05940,WFI
58766.12122,20.52509,0.00136,20.36971,0.00184,20.46900,0.01438,21.21232,0.03467,WFI
58768.16695,20.49894,0.02482,20.31158,0.00553,20.38191,0.00948,21.24172,0.01264,WFI
58773.23861,20.39935,0.00983,20.32655,0.00444,20.41155,0.02512,21.13526,0.02283,WFI
58774.08596,20.48488,0.02801,20.31638,0.00666,20.45416,0.01218,21.17975,0.03173,WFI
58775.16220,20.46507,0.00546,20.30700,0.00418,20.40535,0.01209,21.22451,0.00997,WFI
58776.20823,20.49255,0.03039,20.29753,0.02298,20.49473,0.00892,21.09505,0.06312,WFI
58777.23473,20.42406,0.01206,20.27837,0.02428,20.46121,0.02014,21.20548,0.01392,WFI
58780.19701,20.52110,0.03034,20.32309,0.02140,20.49213,0.02844,21.29429,0.04940,WFI
58781.14757,20.44926,0.01004,20.26719,0.00265,20.40591,0.00666,21.24254,0.01612,WFI
58782.21776,20.44293,0.00424,20.26274,0.00195,20.40497,0.00516,21.25925,0.00624,WFI
58783.23550,20.44330,0.00034,20.25655,0.00310,20.39414,0.00463,21.23637,0.01164,WFI
58784.23846,20.41917,0.01012,20.25900,0.01251,20.39501,0.00099,21.25332,0.00717,WFI
58785.27232,20.41396,0.00213,20.26021,0.00463,20.38276,0.00329,21.22158,0.00717,WFI
58787.14339,20.45169,0.01423,20.27584,0.00103,20.41500,0.00386,21.28227,0.03454,WFI
58791.22875,20.39065,0.01590,20.25968,0.00595,20.36342,0.00252,21.24653,0.02186,WFI
58792.19383,20.40053,0.00657,20.25852,0.00604,20.33972,0.01325,21.21960,0.01698,WFI
58793.16364,20.40270,0.00399,20.26404,0.00499,20.34350,0.00317,21.21728,0.01414,WFI
58794.16981,20.38794,0.00221,20.26696,0.01204,20.33784,0.00781,21.20361,0.00687,WFI
58795.15824,20.39859,0.00320,20.25310,0.00529,20.33444,0.00293,21.20924,0.01073,WFI
58796.14327,20.40168,0.00960,20.26500,0.00650,20.31201,0.00036,21.15710,0.01418,WFI
58797.11201,20.38584,0.00500,20.26251,0.00602,20.33085,0.00834,21.22730,0.02618,WFI
58802.16996,20.40176,0.03034,20.24720,0.02140,20.31466,0.02844,21.21260,0.04940,WFI
58803.11218,20.40203,0.02057,20.25002,0.01534,20.30489,0.00149,21.21360,0.02553,WFI
58804.16155,20.40905,0.00372,20.26678,0.01066,20.29197,0.00282,21.17694,0.01287,WFI
58805.14064,20.39279,0.00438,20.25907,0.00610,20.31166,0.00475,21.20336,0.00459,WFI
58806.18446,20.38610,0.00855,20.25640,0.00497,20.33058,0.00851,21.20927,0.00596,WFI
58807.16844,20.38674,0.00781,20.25104,0.00966,20.33471,0.00138,21.22691,0.01726,WFI
58808.15283,20.41260,0.00635,20.26037,0.00607,20.33309,0.00600,21.21052,0.00934,WFI
58810.20017,20.39753,0.00434,20.24362,0.00140,20.32259,0.00246,21.16911,0.01423,WFI
58811.17202,20.39382,0.00279,20.24783,0.00456,20.32784,0.00041,21.21998,0.00134,WFI
58813.15965,20.39314,0.00462,20.24482,0.00421,20.33484,0.00952,21.19830,0.00224,WFI
58814.15063,20.38141,0.00276,20.24904,0.00673,20.33259,0.00440,21.21102,0.01129,WFI
58815.21013,20.39672,0.00369,20.25418,0.00901,20.31925,0.00693,21.19198,0.01030,WFI
58816.13764,20.39294,0.01924,20.23312,0.00856,20.32246,0.00194,21.23072,0.02233,WFI
58817.11098,20.41101,0.01096,20.21642,0.01097,20.30664,0.01680,21.16851,0.01363,WFI
58818.16242,20.40957,0.00288,20.22462,0.00304,20.31537,0.00534,21.21223,0.01241,WFI
58819.18462,20.41206,0.01139,20.19817,0.00323,20.31115,0.01516,21.20751,0.01156,WFI
58820.16278,20.38048,0.00462,20.22404,0.00562,20.29733,0.01143,21.26074,0.02418,WFI
58821.12467,20.38637,0.00927,20.21727,0.01238,20.33468,0.01368,21.16646,0.01987,WFI
58822.10579,20.39221,0.02599,20.20819,0.00935,20.35870,0.01215,21.14716,0.00928,WFI
58823.10073,20.37833,0.01340,20.20789,0.01305,20.31313,0.00948,21.22344,0.01370,WFI
58825.06835,20.35856,0.02793,20.19089,0.00869,20.34947,0.01111,21.18336,0.00615,WFI
58826.18663,20.37410,0.00681,20.20606,0.01140,20.33557,0.00754,21.22543,0.00922,WFI
58827.12600,20.35192,0.01578,20.24133,0.00400,20.30654,0.01031,21.23420,0.00452,WFI
58828.13734,20.33923,0.01435,20.23939,0.01068,20.29388,0.00687,21.17631,0.01857,WFI
58829.16809,20.36218,0.00172,20.21359,0.00185,20.32372,0.00390,21.18083,0.00401,WFI
58830.15630,20.36805,0.01238,20.23318,0.00393,20.31963,0.00948,21.20635,0.02179,WFI
58831.12233,20.36954,0.01015,20.18814,0.00628,20.29586,0.01053,21.16710,0.01856,WFI
58832.12616,20.30919,0.01739,20.23662,0.01864,20.35419,0.03385,21.22606,0.12565,WFI
58833.15751,20.38997,0.01107,20.18150,0.02077,20.30776,0.01306,21.16548,0.03757,WFI
58834.12069,20.36028,0.00951,20.18266,0.00993,20.29496,0.00453,21.13635,0.01923,WFI
58835.12383,20.37533,0.00423,20.21330,0.00700,20.28954,0.00265,21.19635,0.00197,WFI
58836.10293,20.35586,0.00199,20.20300,0.00792,20.28292,0.00954,21.20046,0.00211,WFI
58837.10388,20.37118,0.00966,20.20905,0.00802,20.26810,0.00611,21.16318,0.01422,WFI
58838.12269,20.37510,0.00504,20.19444,0.00363,20.28836,0.00171,21.19010,0.00879,WFI
58839.16290,20.34528,0.00466,20.20404,0.00569,20.30441,0.00402,21.19923,0.00433,WFI
58840.10647,20.35390,0.00075,20.20830,0.00414,20.28506,0.00350,21.18455,0.00731,WFI
