mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
56102.23699,-12.99648,0.00344,-11.56590,0.00340,EulerCAM
56105.38777,-13.01406,0.00468,-11.54517,0.01853,EulerCAM
56109.37288,-12.99618,0.00198,-11.57386,0.00369,EulerCAM
56118.23739,-13.00385,0.00386,-11.56364,0.00277,EulerCAM
56125.23271,-13.00516,0.00645,-11.55662,0.00285,EulerCAM
56131.18096,-13.00136,0.00548,-11.55402,0.00243,EulerCAM
56133.17493,-12.99809,0.00798,-11.55691,0.00240,EulerCAM
56137.31204,-12.99420,0.00497,-11.56914,0.00265,EulerCAM
56147.10101,-12.99512,0.00182,-11.56251,0.00390,EulerCAM
56151.15776,-12.99518,0.00385,-11.55279,0.00354,EulerCAM
56159.08437,-12.98169,0.00397,-11.56966,0.01260,EulerCAM
56165.21919,-12.98127,0.00493,-11.55472,0.00254,EulerCAM
56173.29456,-12.97998,0.00716,-11.59239,0.01190,EulerCAM
56175.24858,-12.97811,0.00433,-11.55131,0.00937,EulerCAM
56181.19962,-12.96874,0.00597,-11.55291,0.00379,EulerCAM
56185.27009,-12.97927,0.00302,-11.55936,0.00521,EulerCAM
56190.05462,-12.97352,0.00342,-11.55392,0.00373,EulerCAM
56195.21857,-12.97322,0.00384,-11.55636,0.00390,EulerCAM
56205.04715,-12.97398,0.00239,-11.56499,0.00421,EulerCAM
56210.12946,-12.96733,0.00363,-11.55369,0.00534,EulerCAM
56213.08882,-12.98173,0.00716,-11.56527,0.01148,EulerCAM
56215.07728,-12.96814,0.00484,-11.57992,0.00250,EulerCAM
56217.14216,-12.97172,0.00158,-11.55268,0.00258,EulerCAM
56221.08337,-12.96391,0.00313,-11.56261,0.00430,EulerCAM
56225.07035,-12.96156,0.00263,-11.56261,0.00536,EulerCAM
56229.06447,-12.96268,0.00164,-11.56081,0.00366,EulerCAM
56232.03705,-12.96591,0.00302,-11.57269,0.00428,EulerCAM
56236.07857,-12.96299,0.00296,-11.54859,0.00499,EulerCAM
56244.08339,-12.98680,0.00716,-11.52618,0.01148,EulerCAM
56245.09400,-12.95754,0.00489,-11.54038,0.00630,EulerCAM
56255.04769,-12.95409,0.00577,-11.55016,0.00377,EulerCAM
56259.04914,-12.96512,0.00844,-11.55608,0.00462,EulerCAM
56263.02469,-12.94361,0.00371,-11.54426,0.00586,EulerCAM
56268.03099,-12.95344,0.00478,-11.54494,0.00318,EulerCAM
56271.03232,-12.94558,0.00590,-11.53996,0.00289,EulerCAM
56405.41707,-12.91704,0.00400,-11.53459,0.00297,EulerCAM
56409.40868,-12.90996,0.00253,-11.51601,0.00402,EulerCAM
56424.43156,-12.91423,0.00716,-11.54803,0.01148,EulerCAM
56433.41676,-12.91313,0.00176,-11.50474,0.00287,EulerCAM
56435.39521,-12.89899,0.00121,-11.50894,0.00253,EulerCAM
56441.33871,-12.90762,0.00308,-11.48210,0.00946,EulerCAM
56447.27805,-12.90332,0.00289,-11.50136,0.00344,EulerCAM
56451.34705,-12.88924,0.00286,-11.50068,0.00348,EulerCAM
56455.34678,-12.88048,0.00430,-11.47480,0.01142,EulerCAM
56460.30444,-12.87585,0.00150,-11.49931,0.00361,EulerCAM
56472.30535,-12.87855,0.01111,-11.48955,0.00751,EulerCAM
56476.36675,-12.86378,0.01098,-11.46981,0.00754,EulerCAM
56489.35520,-12.88668,0.00149,-11.50824,0.00270,EulerCAM
56491.32762,-12.88831,0.00229,-11.50496,0.00649,EulerCAM
56496.22804,-12.89601,0.00521,-11.48023,0.02545,EulerCAM
56504.30532,-12.89287,0.00197,-11.50539,0.00690,EulerCAM
56507.20645,-12.89328,0.00187,-11.50822,0.00382,EulerCAM
56511.32803,-12.88937,0.00534,-11.49653,0.00666,EulerCAM
56519.17416,-12.87865,0.00123,-11.48768,0.00238,EulerCAM
56523.10624,-12.87939,0.00147,-11.47684,0.00378,EulerCAM
56530.28236,-12.89021,0.00533,-11.49390,0.00571,EulerCAM
56532.23980,-12.88824,0.00398,-11.49775,0.00459,EulerCAM
56536.11951,-12.87426,0.00545,-11.48358,0.00249,EulerCAM
56541.22031,-12.87038,0.00749,-11.49652,0.00659,EulerCAM
56544.09930,-12.87206,0.00176,-11.46736,0.00231,EulerCAM
56546.03115,-12.86951,0.00154,-11.50191,0.00328,EulerCAM
56548.03937,-12.88337,0.00547,-11.49050,0.00326,EulerCAM
56561.20970,-12.89748,0.00233,-11.50583,0.00505,EulerCAM
56564.19894,-12.89707,0.00358,-11.50314,0.00281,EulerCAM
56569.18475,-12.89816,0.00175,-11.50940,0.00257,EulerCAM
56572.13846,-12.88368,0.00187,-11.50637,0.00360,EulerCAM
56576.02692,-12.90183,0.00131,-11.50977,0.00270,EulerCAM
56584.15342,-12.89876,0.00295,-11.51891,0.00448,EulerCAM
56592.11432,-12.89675,0.00146,-11.51705,0.00347,EulerCAM
56599.10803,-12.88388,0.00162,-11.51422,0.00278,EulerCAM
56600.10052,-12.88992,0.00220,-11.51771,0.00221,EulerCAM
56604.06339,-12.88662,0.00221,-11.52133,0.00250,EulerCAM
56612.08595,-12.87803,0.00315,-11.51444,0.00365,EulerCAM
56616.04706,-12.89507,0.00200,-11.52385,0.00301,EulerCAM
56624.05480,-12.88180,0.00218,-11.51798,0.00291,EulerCAM
56627.02580,-12.87927,0.00148,-11.52643,0.00277,EulerCAM
56775.41925,-12.80203,0.00396,-11.46923,0.00426,EulerCAM
56781.37590,-12.80312,0.00251,-11.47248,0.00295,EulerCAM
56789.42232,-12.80289,0.00335,-11.47224,0.00286,EulerCAM
56793.39775,-12.79707,0.00352,-11.47936,0.00324,EulerCAM
56804.39514,-12.80046,0.00126,-11.47108,0.00755,EulerCAM
56805.35431,-12.80039,0.00127,-11.48073,0.00615,EulerCAM
56809.31434,-12.79500,0.00124,-11.47262,0.00389,EulerCAM
56814.34474,-12.79558,0.00129,-11.47751,0.00232,EulerCAM
56830.24384,-12.78587,0.00327,-11.46397,0.00468,EulerCAM
56831.42615,-12.78469,0.00286,-11.48042,0.00260,EulerCAM
56833.41309,-12.78486,0.00154,-11.47411,0.00264,EulerCAM
56834.28022,-12.78335,0.00097,-11.45674,0.00380,EulerCAM
56838.26493,-12.78394,0.00296,-11.45858,0.00335,EulerCAM
56842.30081,-12.79024,0.00165,-11.46593,0.00251,EulerCAM
56846.34950,-12.77744,0.00124,-11.45949,0.00243,EulerCAM
56854.40254,-12.77094,0.00414,-11.46845,0.00530,EulerCAM
56863.22104,-12.77122,0.00207,-11.44895,0.00477,EulerCAM
56870.21793,-12.76811,0.00247,-11.44695,0.00436,EulerCAM
56877.13962,-12.74558,0.00149,-11.43479,0.00356,EulerCAM
56884.28245,-12.75307,0.00150,-11.46218,0.00393,EulerCAM
56888.15821,-12.76234,0.00170,-11.44623,0.00479,EulerCAM
56896.28048,-12.74534,0.00828,-11.45135,0.03055,EulerCAM
56900.03884,-12.74271,0.00128,-11.44266,0.00430,EulerCAM
56904.08349,-12.74657,0.00164,-11.43709,0.00341,EulerCAM
56909.03846,-12.72655,0.00379,-11.44964,0.01246,EulerCAM
56930.13954,-12.72018,0.00139,-11.44542,0.00256,EulerCAM
56937.13530,-12.73197,0.00288,-11.43628,0.00615,EulerCAM
56943.12847,-12.72379,0.00232,-11.44217,0.00372,EulerCAM
56948.13352,-12.72899,0.00189,-11.43579,0.00273,EulerCAM
56950.13439,-12.72099,0.00167,-11.43722,0.00254,EulerCAM
56954.13755,-12.71918,0.00296,-11.43615,0.00320,EulerCAM
56959.08684,-12.73021,0.00247,-11.43380,0.00349,EulerCAM
56966.07206,-12.73066,0.00228,-11.42395,0.00580,EulerCAM
56973.10417,-12.71736,0.00163,-11.42619,0.00496,EulerCAM
