mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
56039.10287,-12.25517,0.01016,-11.16745,0.01927,EulerCAM
56047.25750,-12.25656,0.00965,-11.15964,0.01111,EulerCAM
56058.22316,-12.24072,0.00247,-11.17249,0.01121,EulerCAM
56062.13544,-12.26092,0.00252,-11.19395,0.00422,EulerCAM
56066.20059,-12.26423,0.00220,-11.18262,0.00408,EulerCAM
56070.14446,-12.26000,0.00573,-11.18479,0.00786,EulerCAM
56075.06474,-12.24987,0.00511,-11.18324,0.00397,EulerCAM
56086.16811,-12.24374,0.00248,-11.16114,0.00509,EulerCAM
56098.07984,-12.24262,0.00505,-11.19441,0.01614,EulerCAM
56102.01064,-12.24132,0.00385,-11.18177,0.00527,EulerCAM
56109.05810,-12.27909,0.00516,-11.21566,0.01160,EulerCAM
56118.04457,-12.24878,0.00537,-11.18255,0.00474,EulerCAM
56130.99551,-12.24490,0.00278,-11.19846,0.01136,EulerCAM
56329.34403,-12.18091,0.00228,-11.16006,0.01208,EulerCAM
56331.38785,-12.19449,0.00974,-11.18733,0.01212,EulerCAM
56337.36349,-12.17461,0.01200,-11.12912,0.00509,EulerCAM
56340.33356,-12.20988,0.00377,-11.16838,0.00693,EulerCAM
56343.36951,-12.23210,0.00309,-11.18185,0.00600,EulerCAM
56356.37403,-12.22239,0.00223,-11.16542,0.00400,EulerCAM
56360.31495,-12.22061,0.00371,-11.17344,0.00365,EulerCAM
56367.28514,-12.21821,0.00201,-11.14097,0.00543,EulerCAM
56371.30747,-12.24119,0.00181,-11.17612,0.00624,EulerCAM
56375.20538,-12.24278,0.00668,-11.12186,0.00677,EulerCAM
56386.33101,-12.26148,0.00603,-11.16222,0.00470,EulerCAM
56390.31265,-12.27092,0.00293,-11.18417,0.00944,EulerCAM
56395.30145,-12.25979,0.00298,-11.14762,0.00495,EulerCAM
56404.18331,-12.25487,0.00279,-11.13767,0.00765,EulerCAM
56427.19791,-12.27291,0.00600,-11.17500,0.01913,EulerCAM
56431.18836,-12.27157,0.00804,-11.20106,0.00590,EulerCAM
56443.09279,-12.23465,0.00514,-11.16821,0.01005,EulerCAM
56447.03763,-12.26612,0.00239,-11.19168,0.00905,EulerCAM
56451.14777,-12.27728,0.00245,-11.18966,0.00913,EulerCAM
56454.98905,-12.26757,0.00358,-11.15354,0.00499,EulerCAM
56469.08541,-12.24097,0.01310,-11.18242,0.01957,EulerCAM
56472.01351,-12.25013,0.00488,-11.20850,0.01304,EulerCAM
56476.01090,-12.26573,0.01008,-11.16442,0.00782,EulerCAM
56490.99494,-12.29066,0.00323,-11.21202,0.01189,EulerCAM
56504.97801,-12.28562,0.00303,-11.22272,0.00462,EulerCAM
56674.36431,-12.15365,0.00325,-11.09979,0.00784,EulerCAM
56689.36833,-12.13712,0.00345,-11.12698,0.00416,EulerCAM
56700.31771,-12.13938,0.00752,-11.07818,0.00534,EulerCAM
56711.27808,-12.15921,0.00285,-11.07933,0.00804,EulerCAM
56713.37568,-12.14700,0.00456,-11.09589,0.00538,EulerCAM
56717.36845,-12.14335,0.00230,-11.11437,0.00407,EulerCAM
56725.33773,-12.14758,0.00302,-11.08671,0.01152,EulerCAM
56745.21827,-12.10865,0.00658,-11.07876,0.00417,EulerCAM
56755.23084,-12.12329,0.00837,-11.06398,0.04878,EulerCAM
56769.23117,-12.09682,0.00288,-11.08322,0.00444,EulerCAM
56773.20888,-12.10381,0.00551,-11.08972,0.00724,EulerCAM
56781.07154,-12.11676,0.00956,-11.08175,0.00471,EulerCAM
56793.13582,-12.11975,0.00291,-11.06686,0.00629,EulerCAM
56798.15351,-12.09790,0.01099,-11.05714,0.02588,EulerCAM
56814.05163,-12.13071,0.00309,-11.07668,0.00675,EulerCAM
56822.13300,-12.14619,0.00596,-11.09373,0.01100,EulerCAM
56834.02467,-12.10290,0.00578,-11.06634,0.00741,EulerCAM
56852.02058,-12.12507,0.00422,-11.07869,0.01066,EulerCAM
56862.99943,-12.15519,0.00344,-11.08014,0.00518,EulerCAM
56868.99553,-12.19702,0.00644,-11.06995,0.00693,EulerCAM
56873.98285,-12.16317,0.00327,-11.09927,0.00846,EulerCAM
57040.37127,-12.18647,0.00312,-11.15870,0.00429,EulerCAM
57050.36569,-12.19034,0.00222,-11.12667,0.00384,EulerCAM
57069.39262,-12.18905,0.00315,-11.15317,0.00459,EulerCAM
57085.33319,-12.19141,0.00295,-11.15648,0.01056,EulerCAM
57087.24854,-12.20543,0.00389,-11.11250,0.01153,EulerCAM
57099.38145,-12.22128,0.00376,-11.18755,0.00752,EulerCAM
57102.28796,-12.25351,0.00723,-11.17940,0.01336,EulerCAM
57113.33493,-12.20519,0.00838,-11.16419,0.00558,EulerCAM
57123.24076,-12.18011,0.00422,-11.15620,0.00837,EulerCAM
